Entity,Code,Year,Average annual working hours per worker
Germany,DEU,2009,1372.7135
Germany,DEU,2010,1389.8829
Germany,DEU,2011,1392.8134
Germany,DEU,2012,1375.0267
Germany,DEU,2013,1362.6976
Germany,DEU,2014,1367.0791
Germany,DEU,2015,1368.1069
Germany,DEU,2016,1358.5865
Germany,DEU,2017,1353.8868
India,IND,2000,2086.6284
India,IND,2001,2086.7727
India,IND,2002,2088.8936
India,IND,2003,2091.9958
India,IND,2004,2095.7783
India,IND,2005,2096.916
India,IND,2006,2097.0964
India,IND,2007,2098.1213
India,IND,2008,2099.6331
India,IND,2009,2103.5361
India,IND,2010,2110.3926
India,IND,2011,2113.6245
India,IND,2012,2115.7102
India,IND,2013,2117.103
India,IND,2014,2118.0881
India,IND,2015,2117.0117
India,IND,2016,2117.0117
India,IND,2017,2117.0117
Indonesia,IDN,1999,1949.5291
Indonesia,IDN,2000,1913.0223
Indonesia,IDN,2001,1935.4495
Indonesia,IDN,2002,1917.7333
Indonesia,IDN,2003,1941.8517
Indonesia,IDN,2004,1969.0544
Indonesia,IDN,2005,1953.516
Indonesia,IDN,2006,1965.111
Indonesia,IDN,2007,2042.9899
Indonesia,IDN,2008,2044.3296
Indonesia,IDN,2009,2063.6802
Indonesia,IDN,2010,2054.3242
Indonesia,IDN,2011,2023.2792
Indonesia,IDN,2012,2026.3513
Indonesia,IDN,2013,2024.2395
Indonesia,IDN,2014,2008.4623
Indonesia,IDN,2015,2024.287
Indonesia,IDN,2016,2024.287
Indonesia,IDN,2017,2024.287
Japan,JPN,2000,1858.5
Japan,JPN,2001,1843.1
Japan,JPN,2002,1830.6
Japan,JPN,2003,1834.2
Japan,JPN,2004,1841.5
Japan,JPN,2005,1827.8
Japan,JPN,2006,1836
Japan,JPN,2007,1826.5
Japan,JPN,2008,1807.3
Japan,JPN,2009,1757.2
Japan,JPN,2010,1777.8
Japan,JPN,2011,1772.7
Japan,JPN,2012,1782.9
Japan,JPN,2013,1761.5
Japan,JPN,2014,1756.5
Japan,JPN,2015,1750.9
Japan,JPN,2016,1742
Japan,JPN,2017,1738.3633
Mexico,MEX,2000,2311
Mexico,MEX,2001,2285
Mexico,MEX,2002,2271
Mexico,MEX,2003,2277
Mexico,MEX,2004,2271
Mexico,MEX,2005,2290
Mexico,MEX,2006,2278
Mexico,MEX,2007,2260
Mexico,MEX,2008,2264
Mexico,MEX,2009,2255
Mexico,MEX,2010,2254
Mexico,MEX,2011,2248
Mexico,MEX,2012,2239
Mexico,MEX,2013,2244
Mexico,MEX,2014,2242
Mexico,MEX,2015,2248
Mexico,MEX,2016,2255
Mexico,MEX,2017,2255
Norway,NOR,2000,1456.4656
Norway,NOR,2001,1430.8419
Norway,NOR,2002,1416.3457
Norway,NOR,2003,1404.5042
Norway,NOR,2004,1423.8383
Norway,NOR,2005,1427.7825
Norway,NOR,2006,1425.226
Norway,NOR,2007,1434.3196
Norway,NOR,2008,1438.6703
Norway,NOR,2009,1416.8906
Norway,NOR,2010,1426.4763
Norway,NOR,2011,1430.038
Norway,NOR,2012,1428.465
Norway,NOR,2013,1417.9874
Norway,NOR,2014,1420.2477
Norway,NOR,2015,1422.5608
Norway,NOR,2016,1429.0883
Norway,NOR,2017,1417.4723
Spain,ESP,2000,1752.7551
Spain,ESP,2001,1762.5
Spain,ESP,2002,1764.574
Spain,ESP,2003,1755.9388
Spain,ESP,2004,1741.507
Spain,ESP,2005,1725.6006
Spain,ESP,2006,1715.6556
Spain,ESP,2007,1703.4878
Spain,ESP,2008,1712.5524
Spain,ESP,2009,1719.6741
Spain,ESP,2010,1710.3958
Spain,ESP,2011,1715.5109
Spain,ESP,2012,1701.1927
Spain,ESP,2013,1693.5347
Spain,ESP,2014,1694.5872
Spain,ESP,2015,1699.4991
Spain,ESP,2016,1701.3669
Spain,ESP,2017,1686.4973
United Kingdom,GBR,2000,1692.954
United Kingdom,GBR,2001,1695.9764
United Kingdom,GBR,2002,1678.5614
United Kingdom,GBR,2003,1669.3804
United Kingdom,GBR,2004,1666.7157
United Kingdom,GBR,2005,1669.7372
United Kingdom,GBR,2006,1663.9857
United Kingdom,GBR,2007,1665.8214
United Kingdom,GBR,2008,1660.4688
United Kingdom,GBR,2009,1638.3318
United Kingdom,GBR,2010,1643.2079
United Kingdom,GBR,2011,1641.3157
United Kingdom,GBR,2012,1655.1066
United Kingdom,GBR,2013,1665.8917
United Kingdom,GBR,2014,1672.2679
United Kingdom,GBR,2015,1669.0747
United Kingdom,GBR,2016,1668.3876
United Kingdom,GBR,2017,1670.2728
United States,USA,2000,1844.9187
United States,USA,2001,1823.8229
United States,USA,2002,1806.9037
United States,USA,2003,1791.0933
United States,USA,2004,1789.9679
United States,USA,2005,1787.311
United States,USA,2006,1787.5776
United States,USA,2007,1786.0842
United States,USA,2008,1767.0127
United States,USA,2009,1729.9553
United States,USA,2010,1736.095
United States,USA,2011,1745.0492
United States,USA,2012,1745.438
United States,USA,2013,1750.0786
United States,USA,2014,1754.4224
United States,USA,2015,1765.1826
United States,USA,2016,1760.796
United States,USA,2017,1757.2255
